Site,Event Month,O&O Ad Views
Crackle Yahoo App,Jan-17,0
Crackle Yahoo App,Apr-17,0
Crackle Yahoo App,May-17,2
Crackle Yahoo App,Jul-17,0
Crackle Yahoo App,Aug-17,1
Crackle Yahoo App,Sep-17,0
Crackle Yahoo App,Jan-17,8
Crackle Yahoo App,Oct-17,2
Crackle Yahoo App,Nov-17,40
Crackle Yahoo App,Dec-17,251
Crackle Yahoo App,Apr-17,3
Crackle Yahoo App,Jun-17,170
Crackle Yahoo App,Jul-17,2
Crackle Yahoo App,Aug-17,173
Crackle Yahoo App,Sep-17,4
Crackle XboxOne App Stream - US,Oct-17,84
Crackle XboxOne App Stream - US,Nov-17,"2,479"
Crackle XboxOne App Stream - US,Dec-17,171
Crackle XboxOne App Stream - US,Oct-17,"3,115"
Crackle XboxOne App Stream - US,Nov-17,"7,151"
Crackle XboxOne App Stream - US,Dec-17,"3,574"
Crackle XboxOne App Stream - US,Jul-17,28
Crackle XboxOne App Stream - US,Aug-17,279
Crackle XboxOne App Stream - US,Sep-17,111
Crackle XboxOne App Stream - US,Oct-17,632
Crackle XboxOne App Stream - US,Nov-17,"21,897"
Crackle XboxOne App Stream - US,Dec-17,751
Crackle XboxOne App Stream - US,Oct-17,"38,864"
Crackle XboxOne App Stream - US,Nov-17,"68,005"
Crackle XboxOne App Stream - US,Dec-17,"39,247"
Crackle XboxOne App Stream - US,Jun-17,0
Crackle XboxOne App Stream - US,Jul-17,1
Crackle XboxOne App Stream - US,Aug-17,297
Crackle XboxOne App Stream - US,Sep-17,183
Crackle XboxOne App Stream - US,Oct-17,"494,466"
Crackle XboxOne App Stream - US,Nov-17,"574,978"
Crackle XboxOne App Stream - US,Dec-17,"538,134"
Crackle XboxOne App Stream - US,Jun-17,"1,232"
Crackle XboxOne App Stream - US,Jul-17,"5,026"
Crackle XboxOne App Stream - US,Aug-17,"9,640"
Crackle XboxOne App Stream - US,Sep-17,"10,895"
Crackle XboxOne App Stream - US,Oct-17,"422,906"
Crackle XboxOne App Stream - US,Nov-17,"875,773"
Crackle XboxOne App Stream - US,Dec-17,"1,059,389"
Crackle XboxOne App Stream - US,Jun-17,"1,262"
Crackle XboxOne App Stream - US,Jul-17,"4,622"
Crackle XboxOne App Stream - US,Aug-17,"11,466"
Crackle XboxOne App Stream - US,Sep-17,"9,821"
Crackle XboxOne App Stream - US,Oct-17,"2,606,443"
Crackle XboxOne App Stream - US,Nov-17,"2,564,693"
Crackle XboxOne App Stream - US,Dec-17,"2,066,074"
Crackle XboxOne App Stream - US,Jun-17,"1,074"
Crackle XboxOne App Stream - US,Jul-17,"9,506"
Crackle XboxOne App Stream - US,Aug-17,"10,724"
Crackle XboxOne App Stream - US,Sep-17,"9,499"
Crackle XboxOne App Stream - US,Oct-17,435
Crackle XboxOne App Stream - US,Nov-17,996
Crackle XboxOne App Stream - US,Dec-17,"1,501"
Crackle XboxOne App Stream - US,Jun-17,10
Crackle XboxOne App Stream - US,Jul-17,30
Crackle XboxOne App Stream - US,Aug-17,0
Crackle XboxOne App Stream - US,Sep-17,11
Crackle XboxOne App Stream - US,Oct-17,"3,181"
Crackle XboxOne App Stream - US,Nov-17,"8,088"
Crackle XboxOne App Stream - US,Dec-17,"5,646"
Crackle XboxOne App Stream - US,Jun-17,0
Crackle XboxOne App Stream - US,Jul-17,47
Crackle XboxOne App Stream - US,Aug-17,246
Crackle XboxOne App Stream - US,Sep-17,39
Crackle XboxOne App Stream - US,Oct-17,"5,444"
Crackle XboxOne App Stream - US,Nov-17,"8,880"
Crackle XboxOne App Stream - US,Dec-17,"8,824"
Crackle XboxOne App Stream - US,Jun-17,22
Crackle XboxOne App Stream - US,Jul-17,19
Crackle XboxOne App Stream - US,Aug-17,133
Crackle XboxOne App Stream - US,Sep-17,40
Crackle XboxOne App Stream - US,Oct-17,"38,327"
Crackle XboxOne App Stream - US,Nov-17,"77,959"
Crackle XboxOne App Stream - US,Dec-17,"43,627"
Crackle XboxOne App Stream - US,Jun-17,55
Crackle XboxOne App Stream - US,Jul-17,117
Crackle XboxOne App Stream - US,Aug-17,327
Crackle XboxOne App Stream - US,Sep-17,142
Crackle XboxOne App Stream - US,Oct-17,"4,142,815"
Crackle XboxOne App Stream - US,Nov-17,"6,763,863"
Crackle XboxOne App Stream - US,Dec-17,"7,512,626"
Crackle XboxOne App Stream - US,Jun-17,"1,457"
Crackle XboxOne App Stream - US,Jul-17,"5,949"
Crackle XboxOne App Stream - US,Aug-17,"14,615"
Crackle XboxOne App Stream - US,Sep-17,"19,200"
Crackle XboxOne App Stream - US,Oct-17,454
Crackle XboxOne App Stream - US,Nov-17,636
Crackle XboxOne App Stream - US,Dec-17,731
Crackle XboxOne App Stream - US,Jun-17,0
Crackle XboxOne App Stream - US,Jul-17,19
Crackle XboxOne App Stream - US,Aug-17,7
Crackle XboxOne App Stream - US,Sep-17,0
Crackle XboxOne App Stream - US,Oct-17,"5,667"
Crackle XboxOne App Stream - US,Nov-17,"5,436"
Crackle XboxOne App Stream - US,Dec-17,"6,672"
Crackle XboxOne App Stream - US,Jun-17,24
Crackle XboxOne App Stream - US,Jul-17,51
Crackle XboxOne App Stream - US,Aug-17,92
Crackle XboxOne App Stream - US,Sep-17,54
Crackle XboxOne App Stream - US,Oct-17,"4,263"
Crackle XboxOne App Stream - US,Nov-17,"14,865"
Crackle XboxOne App Stream - US,Dec-17,"2,717"
Crackle XboxOne App Stream - US,Jun-17,69
Crackle XboxOne App Stream - US,Jul-17,33
Crackle XboxOne App Stream - US,Aug-17,86
Crackle XboxOne App Stream - US,Sep-17,68
Crackle XboxOne App Stream - US,Oct-17,"19,564"
Crackle XboxOne App Stream - US,Nov-17,"71,602"
Crackle XboxOne App Stream - US,Dec-17,"113,072"
Crackle XboxOne App Stream - US,Jun-17,127
Crackle XboxOne App Stream - US,Jul-17,221
Crackle XboxOne App Stream - US,Aug-17,443
Crackle XboxOne App Stream - US,Sep-17,"1,056"
Crackle XboxOne App Stream - US,Oct-17,"39,756"
Crackle XboxOne App Stream - US,Nov-17,"123,301"
Crackle XboxOne App Stream - US,Dec-17,"20,385"
Crackle XboxOne App Stream - US,Jun-17,109
Crackle XboxOne App Stream - US,Jul-17,125
Crackle XboxOne App Stream - US,Aug-17,198
Crackle XboxOne App Stream - US,Sep-17,173
Crackle XboxOne App Stream - US,Oct-17,"184,175"
Crackle XboxOne App Stream - US,Nov-17,"594,787"
Crackle XboxOne App Stream - US,Dec-17,"823,427"
Crackle XboxOne App Stream - US,Jun-17,225
Crackle XboxOne App Stream - US,Jul-17,571
Crackle XboxOne App Stream - US,Aug-17,"1,667"
Crackle XboxOne App Stream - US,Sep-17,"1,691"
Crackle XboxOne App Stream - US,Oct-17,"2,977"
Crackle XboxOne App Stream - US,Nov-17,"1,353"
Crackle XboxOne App Stream - US,Dec-17,986
Crackle XboxOne App Stream - US,Jul-17,0
Crackle XboxOne App Stream - US,Aug-17,8
Crackle XboxOne App Stream - US,Sep-17,47
Crackle XboxOne App Stream - US,Oct-17,557
Crackle XboxOne App Stream - US,Nov-17,973
Crackle XboxOne App Stream - US,Dec-17,"3,376"
Crackle XboxOne App Stream - US,Jun-17,31
Crackle XboxOne App Stream - US,Aug-17,60
Crackle XboxOne App Stream - US,Sep-17,50
Crackle XboxOne App Stream - US,Oct-17,"16,571"
Crackle XboxOne App Stream - US,Nov-17,"9,359"
Crackle XboxOne App Stream - US,Dec-17,"6,490"
Crackle XboxOne App Stream - US,Jul-17,19
Crackle XboxOne App Stream - US,Aug-17,46
Crackle XboxOne App Stream - US,Sep-17,41
Crackle XboxOne App Stream - US,Oct-17,"11,549"
Crackle XboxOne App Stream - US,Nov-17,"10,079"
Crackle XboxOne App Stream - US,Dec-17,"36,644"
Crackle XboxOne App Stream - US,Jun-17,37
Crackle XboxOne App Stream - US,Jul-17,63
Crackle XboxOne App Stream - US,Aug-17,44
Crackle XboxOne App Stream - US,Sep-17,5
Crackle XboxOne App Stream - US,Oct-17,"1,205"
Crackle XboxOne App Stream - US,Nov-17,"1,216"
Crackle XboxOne App Stream - US,Dec-17,781
Crackle XboxOne App Stream - US,Aug-17,3
Crackle XboxOne App Stream - US,Oct-17,"7,756"
Crackle XboxOne App Stream - US,Nov-17,"12,845"
Crackle XboxOne App Stream - US,Dec-17,"21,420"
Crackle XboxOne App Stream - US,Jun-17,74
Crackle XboxOne App Stream - US,Jul-17,98
Crackle XboxOne App Stream - US,Aug-17,182
Crackle XboxOne App Stream - US,Sep-17,323
Crackle XboxOne App Stream - US,Oct-17,"9,771"
Crackle XboxOne App Stream - US,Nov-17,"8,650"
Crackle XboxOne App Stream - US,Dec-17,"5,669"
Crackle XboxOne App Stream - US,Jun-17,1
Crackle XboxOne App Stream - US,Aug-17,18
Crackle XboxOne App Stream - US,Sep-17,15
Crackle XboxOne App Stream - US,Oct-17,"111,772"
Crackle XboxOne App Stream - US,Nov-17,"133,782"
Crackle XboxOne App Stream - US,Dec-17,"209,683"
Crackle XboxOne App Stream - US,Jun-17,183
Crackle XboxOne App Stream - US,Jul-17,234
Crackle XboxOne App Stream - US,Aug-17,500
Crackle XboxOne App Stream - US,Sep-17,749
Crackle XboxOne App Stream - US,Oct-17,293
Crackle XboxOne App Stream - US,Nov-17,255
Crackle XboxOne App Stream - US,Dec-17,329
Crackle XboxOne App Stream - US,Aug-17,1
Crackle XboxOne App Stream - US,Sep-17,1
Crackle XboxOne App Stream - US,Oct-17,"3,526"
Crackle XboxOne App Stream - US,Nov-17,"16,200"
Crackle XboxOne App Stream - US,Dec-17,"23,099"
Crackle XboxOne App Stream - US,Jun-17,43
Crackle XboxOne App Stream - US,Jul-17,42
Crackle XboxOne App Stream - US,Aug-17,216
Crackle XboxOne App Stream - US,Sep-17,62
Crackle XboxOne App Stream - US,Oct-17,"3,347"
Crackle XboxOne App Stream - US,Nov-17,"2,320"
Crackle XboxOne App Stream - US,Dec-17,"2,645"
Crackle XboxOne App Stream - US,Jun-17,0
Crackle XboxOne App Stream - US,Jul-17,12
Crackle XboxOne App Stream - US,Aug-17,49
Crackle XboxOne App Stream - US,Sep-17,0
Crackle XboxOne App Stream - US,Oct-17,"43,211"
Crackle XboxOne App Stream - US,Nov-17,"164,246"
Crackle XboxOne App Stream - US,Dec-17,"184,678"
Crackle XboxOne App Stream - US,Jun-17,7
Crackle XboxOne App Stream - US,Jul-17,216
Crackle XboxOne App Stream - US,Aug-17,485
Crackle XboxOne App Stream - US,Sep-17,347
Crackle XboxOne App Stream - US,Jan-17,"2,004,104"
Crackle XboxOne App Stream - US,Oct-17,"500,801"
Crackle XboxOne App Stream - US,Dec-17,39
Crackle XboxOne App Stream - US,Feb-17,"1,888,665"
Crackle XboxOne App Stream - US,Mar-17,"2,878,495"
Crackle XboxOne App Stream - US,Apr-17,"2,151,874"
Crackle XboxOne App Stream - US,May-17,"2,629,108"
Crackle XboxOne App Stream - US,Jun-17,"2,837,939"
Crackle XboxOne App Stream - US,Jul-17,"2,900,643"
Crackle XboxOne App Stream - US,Aug-17,"3,647,124"
Crackle XboxOne App Stream - US,Sep-17,"2,865,781"
Crackle XboxOne App Stream - US,Jan-17,"6,413,994"
Crackle XboxOne App Stream - US,Oct-17,"545,418"
Crackle XboxOne App Stream - US,Nov-17,6
Crackle XboxOne App Stream - US,Dec-17,16
Crackle XboxOne App Stream - US,Feb-17,"5,583,599"
Crackle XboxOne App Stream - US,Mar-17,"5,594,719"
Crackle XboxOne App Stream - US,Apr-17,"4,153,874"
Crackle XboxOne App Stream - US,May-17,"4,940,050"
Crackle XboxOne App Stream - US,Jun-17,"5,415,213"
Crackle XboxOne App Stream - US,Jul-17,"5,040,790"
Crackle XboxOne App Stream - US,Aug-17,"5,044,228"
Crackle XboxOne App Stream - US,Sep-17,"6,337,378"
Crackle XboxOne App Stream - CA,Oct-17,1
Crackle XboxOne App Stream - CA,Nov-17,7
Crackle XboxOne App Stream - CA,Dec-17,27
Crackle XboxOne App Stream - CA,Oct-17,"2,421"
Crackle XboxOne App Stream - CA,Nov-17,220
Crackle XboxOne App Stream - CA,Dec-17,267
Crackle XboxOne App Stream - CA,Sep-17,4
Crackle XboxOne App Stream - CA,Oct-17,155
Crackle XboxOne App Stream - CA,Nov-17,179
Crackle XboxOne App Stream - CA,Dec-17,259
Crackle XboxOne App Stream - CA,Oct-17,"31,010"
Crackle XboxOne App Stream - CA,Nov-17,"3,521"
Crackle XboxOne App Stream - CA,Dec-17,"5,316"
Crackle XboxOne App Stream - CA,Oct-17,"30,576"
Crackle XboxOne App Stream - CA,Nov-17,"26,501"
Crackle XboxOne App Stream - CA,Dec-17,"41,573"
Crackle XboxOne App Stream - CA,Aug-17,331
Crackle XboxOne App Stream - CA,Sep-17,48
Crackle XboxOne App Stream - CA,Oct-17,"34,634"
Crackle XboxOne App Stream - CA,Nov-17,"31,358"
Crackle XboxOne App Stream - CA,Dec-17,"46,848"
Crackle XboxOne App Stream - CA,Jul-17,14
Crackle XboxOne App Stream - CA,Aug-17,213
Crackle XboxOne App Stream - CA,Sep-17,46
Crackle XboxOne App Stream - CA,Oct-17,"144,616"
Crackle XboxOne App Stream - CA,Nov-17,"168,927"
Crackle XboxOne App Stream - CA,Dec-17,"308,467"
Crackle XboxOne App Stream - CA,Oct-17,106
Crackle XboxOne App Stream - CA,Nov-17,50
Crackle XboxOne App Stream - CA,Dec-17,81
Crackle XboxOne App Stream - CA,Aug-17,1
Crackle XboxOne App Stream - CA,Oct-17,296
Crackle XboxOne App Stream - CA,Nov-17,"1,025"
Crackle XboxOne App Stream - CA,Dec-17,"1,571"
Crackle XboxOne App Stream - CA,Oct-17,"1,131"
Crackle XboxOne App Stream - CA,Nov-17,"1,223"
Crackle XboxOne App Stream - CA,Dec-17,815
Crackle XboxOne App Stream - CA,Jul-17,0
Crackle XboxOne App Stream - CA,Oct-17,"2,366"
Crackle XboxOne App Stream - CA,Nov-17,"11,488"
Crackle XboxOne App Stream - CA,Dec-17,"19,579"
Crackle XboxOne App Stream - CA,Jul-17,1
Crackle XboxOne App Stream - CA,Aug-17,1
Crackle XboxOne App Stream - CA,Oct-17,"327,763"
Crackle XboxOne App Stream - CA,Nov-17,"265,711"
Crackle XboxOne App Stream - CA,Dec-17,"425,280"
Crackle XboxOne App Stream - CA,Dec-17,49
Crackle XboxOne App Stream - CA,Oct-17,2
Crackle XboxOne App Stream - CA,Dec-17,270
Crackle XboxOne App Stream - CA,Oct-17,133
Crackle XboxOne App Stream - CA,Dec-17,581
Crackle XboxOne App Stream - CA,Oct-17,280
Crackle XboxOne App Stream - CA,Dec-17,"2,600"
Crackle XboxOne App Stream - CA,Oct-17,123
Crackle XboxOne App Stream - CA,Nov-17,129
Crackle XboxOne App Stream - CA,Dec-17,108
Crackle XboxOne App Stream - CA,Sep-17,1
Crackle XboxOne App Stream - CA,Oct-17,65
Crackle XboxOne App Stream - CA,Nov-17,607
Crackle XboxOne App Stream - CA,Dec-17,594
Crackle XboxOne App Stream - CA,Aug-17,1
Crackle XboxOne App Stream - CA,Oct-17,"1,083"
Crackle XboxOne App Stream - CA,Nov-17,"1,530"
Crackle XboxOne App Stream - CA,Dec-17,"1,320"
Crackle XboxOne App Stream - CA,Aug-17,5
Crackle XboxOne App Stream - CA,Oct-17,"3,165"
Crackle XboxOne App Stream - CA,Nov-17,"6,228"
Crackle XboxOne App Stream - CA,Dec-17,"5,091"
Crackle XboxOne App Stream - CA,Aug-17,9
Crackle XboxOne App Stream - CA,Sep-17,3
Crackle XboxOne App Stream - CA,Oct-17,213
Crackle XboxOne App Stream - CA,Nov-17,145
Crackle XboxOne App Stream - CA,Dec-17,366
Crackle XboxOne App Stream - CA,Aug-17,18
Crackle XboxOne App Stream - CA,Sep-17,15
Crackle XboxOne App Stream - CA,Oct-17,"2,091"
Crackle XboxOne App Stream - CA,Nov-17,"1,632"
Crackle XboxOne App Stream - CA,Dec-17,"4,618"
Crackle XboxOne App Stream - CA,Aug-17,28
Crackle XboxOne App Stream - CA,Sep-17,11
Crackle XboxOne App Stream - CA,Oct-17,"2,370"
Crackle XboxOne App Stream - CA,Nov-17,"1,531"
Crackle XboxOne App Stream - CA,Dec-17,"4,977"
Crackle XboxOne App Stream - CA,Aug-17,12
Crackle XboxOne App Stream - CA,Sep-17,17
Crackle XboxOne App Stream - CA,Oct-17,"25,120"
Crackle XboxOne App Stream - CA,Nov-17,"21,194"
Crackle XboxOne App Stream - CA,Dec-17,"55,829"
Crackle XboxOne App Stream - CA,Aug-17,7
Crackle XboxOne App Stream - CA,Sep-17,6
Crackle XboxOne App Stream - CA,Dec-17,99
Crackle XboxOne App Stream - CA,Oct-17,37
Crackle XboxOne App Stream - CA,Nov-17,18
Crackle XboxOne App Stream - CA,Dec-17,66
Crackle XboxOne App Stream - CA,Oct-17,"1,037"
Crackle XboxOne App Stream - CA,Nov-17,"1,128"
Crackle XboxOne App Stream - CA,Dec-17,"2,026"
Crackle XboxOne App Stream - CA,Aug-17,1
Crackle XboxOne App Stream - CA,Oct-17,638
Crackle XboxOne App Stream - CA,Nov-17,393
Crackle XboxOne App Stream - CA,Dec-17,819
Crackle XboxOne App Stream - CA,Sep-17,4
Crackle XboxOne App Stream - CA,Oct-17,"17,032"
Crackle XboxOne App Stream - CA,Nov-17,"11,473"
Crackle XboxOne App Stream - CA,Dec-17,"22,647"
Crackle XboxOne App Stream - CA,Sep-17,38
Crackle XboxOne App Stream - CA,Jan-17,"239,598"
Crackle XboxOne App Stream - CA,Oct-17,"38,107"
Crackle XboxOne App Stream - CA,Feb-17,"95,231"
Crackle XboxOne App Stream - CA,Mar-17,"91,198"
Crackle XboxOne App Stream - CA,Apr-17,"107,301"
Crackle XboxOne App Stream - CA,May-17,"174,560"
Crackle XboxOne App Stream - CA,Jun-17,"260,335"
Crackle XboxOne App Stream - CA,Jul-17,"265,543"
Crackle XboxOne App Stream - CA,Aug-17,"236,268"
Crackle XboxOne App Stream - CA,Sep-17,"136,568"
Crackle XboxOne App Stream - CA,Jan-17,"409,984"
Crackle XboxOne App Stream - CA,Oct-17,"110,466"
Crackle XboxOne App Stream - CA,Feb-17,"236,200"
Crackle XboxOne App Stream - CA,Mar-17,"349,156"
Crackle XboxOne App Stream - CA,Apr-17,"447,494"
Crackle XboxOne App Stream - CA,May-17,"815,642"
Crackle XboxOne App Stream - CA,Jun-17,"1,143,811"
Crackle XboxOne App Stream - CA,Jul-17,"1,018,079"
Crackle XboxOne App Stream - CA,Aug-17,"809,562"
Crackle XboxOne App Stream - CA,Sep-17,"598,833"
Crackle XboxOne App Stream - Australia,Oct-17,401
Crackle XboxOne App Stream - Australia,Nov-17,344
Crackle XboxOne App Stream - Australia,Dec-17,54
Crackle XboxOne App Stream - Australia,Aug-17,1
Crackle XboxOne App Stream - Australia,Oct-17,96
Crackle XboxOne App Stream - Australia,Nov-17,337
Crackle XboxOne App Stream - Australia,Dec-17,58
Crackle XboxOne App Stream - Australia,Oct-17,"1,750"
Crackle XboxOne App Stream - Australia,Nov-17,"4,472"
Crackle XboxOne App Stream - Australia,Dec-17,"1,214"
Crackle XboxOne App Stream - Australia,Oct-17,1
Crackle XboxOne App Stream - Australia,Nov-17,53
Crackle XboxOne App Stream - Australia,Dec-17,26
Crackle XboxOne App Stream - Australia,Oct-17,191
Crackle XboxOne App Stream - Australia,Nov-17,461
Crackle XboxOne App Stream - Australia,Dec-17,25
Crackle XboxOne App Stream - Australia,Oct-17,"1,588"
Crackle XboxOne App Stream - Australia,Nov-17,"3,097"
Crackle XboxOne App Stream - Australia,Dec-17,365
Crackle XboxOne App Stream - Australia,Oct-17,4
Crackle XboxOne App Stream - Australia,Oct-17,48
Crackle XboxOne App Stream - Australia,Nov-17,18
Crackle XboxOne App Stream - Australia,Oct-17,19
Crackle XboxOne App Stream - Australia,Nov-17,20
Crackle XboxOne App Stream - Australia,Oct-17,74
Crackle XboxOne App Stream - Australia,Nov-17,75
Crackle XboxOne App Stream - Australia,Jan-17,"12,500"
Crackle XboxOne App Stream - Australia,Oct-17,261
Crackle XboxOne App Stream - Australia,Feb-17,"3,443"
Crackle XboxOne App Stream - Australia,Mar-17,"5,783"
Crackle XboxOne App Stream - Australia,Apr-17,"3,649"
Crackle XboxOne App Stream - Australia,May-17,"6,058"
Crackle XboxOne App Stream - Australia,Jun-17,"3,206"
Crackle XboxOne App Stream - Australia,Jul-17,"4,809"
Crackle XboxOne App Stream - Australia,Aug-17,"2,191"
Crackle XboxOne App Stream - Australia,Sep-17,922
Crackle XboxOne App Stream - Australia,Jan-17,"13,900"
Crackle XboxOne App Stream - Australia,Oct-17,212
Crackle XboxOne App Stream - Australia,Feb-17,"2,488"
Crackle XboxOne App Stream - Australia,Mar-17,"5,571"
Crackle XboxOne App Stream - Australia,Apr-17,"4,228"
Crackle XboxOne App Stream - Australia,May-17,"9,860"
Crackle XboxOne App Stream - Australia,Jun-17,"5,339"
Crackle XboxOne App Stream - Australia,Jul-17,"4,704"
Crackle XboxOne App Stream - Australia,Aug-17,"1,424"
Crackle XboxOne App Stream - Australia,Sep-17,"1,094"
Crackle Xbox 360 App - US,Jan-17,232
Crackle Xbox 360 App - US,Oct-17,"126,957"
Crackle Xbox 360 App - US,Nov-17,"165,763"
Crackle Xbox 360 App - US,Dec-17,"126,210"
Crackle Xbox 360 App - US,Feb-17,54
Crackle Xbox 360 App - US,Mar-17,12
Crackle Xbox 360 App - US,Apr-17,63
Crackle Xbox 360 App - US,May-17,"97,944"
Crackle Xbox 360 App - US,Jun-17,"104,514"
Crackle Xbox 360 App - US,Jul-17,"131,296"
Crackle Xbox 360 App - US,Aug-17,"152,482"
Crackle Xbox 360 App - US,Sep-17,"135,807"
Crackle Xbox 360 App - US,Jan-17,170
Crackle Xbox 360 App - US,Oct-17,"214,574"
Crackle Xbox 360 App - US,Nov-17,"423,744"
Crackle Xbox 360 App - US,Dec-17,"391,129"
Crackle Xbox 360 App - US,Feb-17,93
Crackle Xbox 360 App - US,Mar-17,90
Crackle Xbox 360 App - US,Apr-17,21
Crackle Xbox 360 App - US,May-17,"204,576"
Crackle Xbox 360 App - US,Jun-17,"298,840"
Crackle Xbox 360 App - US,Jul-17,"305,971"
Crackle Xbox 360 App - US,Aug-17,"356,475"
Crackle Xbox 360 App - US,Sep-17,"286,808"
Crackle Xbox 360 App - US,Jan-17,"1,959,985"
Crackle Xbox 360 App - US,Oct-17,"963,975"
Crackle Xbox 360 App - US,Nov-17,"1,085,689"
Crackle Xbox 360 App - US,Dec-17,"771,643"
Crackle Xbox 360 App - US,Feb-17,"1,192,459"
Crackle Xbox 360 App - US,Mar-17,"1,212,269"
Crackle Xbox 360 App - US,Apr-17,"1,119,028"
Crackle Xbox 360 App - US,May-17,"1,021,987"
Crackle Xbox 360 App - US,Jun-17,"928,433"
Crackle Xbox 360 App - US,Jul-17,"1,075,281"
Crackle Xbox 360 App - US,Aug-17,"1,046,879"
Crackle Xbox 360 App - US,Sep-17,"925,528"
Crackle Xbox 360 App - US,Jan-17,"7,222,970"
Crackle Xbox 360 App - US,Oct-17,"2,232,478"
Crackle Xbox 360 App - US,Nov-17,"3,797,234"
Crackle Xbox 360 App - US,Dec-17,"3,242,873"
Crackle Xbox 360 App - US,Feb-17,"4,969,955"
Crackle Xbox 360 App - US,Mar-17,"4,356,959"
Crackle Xbox 360 App - US,Apr-17,"3,591,675"
Crackle Xbox 360 App - US,May-17,"3,176,480"
Crackle Xbox 360 App - US,Jun-17,"3,338,545"
Crackle Xbox 360 App - US,Jul-17,"3,091,518"
Crackle Xbox 360 App - US,Aug-17,"3,565,365"
Crackle Xbox 360 App - US,Sep-17,"2,952,901"
Crackle Xbox 360 App - Canada,Oct-17,"8,017"
Crackle Xbox 360 App - Canada,Nov-17,"3,173"
Crackle Xbox 360 App - Canada,Dec-17,"3,850"
Crackle Xbox 360 App - Canada,May-17,"12,306"
Crackle Xbox 360 App - Canada,Jun-17,"18,616"
Crackle Xbox 360 App - Canada,Jul-17,"15,431"
Crackle Xbox 360 App - Canada,Aug-17,"11,023"
Crackle Xbox 360 App - Canada,Sep-17,"5,038"
Crackle Xbox 360 App - Canada,Oct-17,"17,386"
Crackle Xbox 360 App - Canada,Nov-17,"6,800"
Crackle Xbox 360 App - Canada,Dec-17,"8,635"
Crackle Xbox 360 App - Canada,May-17,"26,166"
Crackle Xbox 360 App - Canada,Jun-17,"33,874"
Crackle Xbox 360 App - Canada,Jul-17,"31,754"
Crackle Xbox 360 App - Canada,Aug-17,"31,017"
Crackle Xbox 360 App - Canada,Sep-17,"14,241"
Crackle Xbox 360 App - Canada,Jan-17,"256,795"
Crackle Xbox 360 App - Canada,Oct-17,"40,459"
Crackle Xbox 360 App - Canada,Nov-17,"25,776"
Crackle Xbox 360 App - Canada,Dec-17,"24,988"
Crackle Xbox 360 App - Canada,Feb-17,"197,877"
Crackle Xbox 360 App - Canada,Mar-17,"170,716"
Crackle Xbox 360 App - Canada,Apr-17,"186,050"
Crackle Xbox 360 App - Canada,May-17,"156,539"
Crackle Xbox 360 App - Canada,Jun-17,"160,840"
Crackle Xbox 360 App - Canada,Jul-17,"139,558"
Crackle Xbox 360 App - Canada,Aug-17,"74,575"
Crackle Xbox 360 App - Canada,Sep-17,"39,113"
Crackle Xbox 360 App - Canada,Jan-17,"475,806"
Crackle Xbox 360 App - Canada,Oct-17,"111,304"
Crackle Xbox 360 App - Canada,Nov-17,"63,014"
Crackle Xbox 360 App - Canada,Dec-17,"71,134"
Crackle Xbox 360 App - Canada,Feb-17,"443,550"
Crackle Xbox 360 App - Canada,Mar-17,"450,545"
Crackle Xbox 360 App - Canada,Apr-17,"505,292"
Crackle Xbox 360 App - Canada,May-17,"504,691"
Crackle Xbox 360 App - Canada,Jun-17,"412,472"
Crackle Xbox 360 App - Canada,Jul-17,"355,732"
Crackle Xbox 360 App - Canada,Aug-17,"226,721"
Crackle Xbox 360 App - Canada,Sep-17,"88,137"
Crackle Xbox 360 App - Australia,Oct-17,3
Crackle Xbox 360 App - Australia,Jul-17,23
Crackle Xbox 360 App - Australia,Aug-17,14
Crackle Xbox 360 App - Australia,Sep-17,6
Crackle Xbox 360 App - Australia,Oct-17,74
Crackle Xbox 360 App - Australia,Dec-17,6
Crackle Xbox 360 App - Australia,May-17,21
Crackle Xbox 360 App - Australia,Jun-17,42
Crackle Xbox 360 App - Australia,Jul-17,83
Crackle Xbox 360 App - Australia,Aug-17,61
Crackle Xbox 360 App - Australia,Sep-17,26
Crackle Xbox 360 App - Australia,Jan-17,"1,271"
Crackle Xbox 360 App - Australia,Oct-17,385
Crackle Xbox 360 App - Australia,Nov-17,60
Crackle Xbox 360 App - Australia,Dec-17,13
Crackle Xbox 360 App - Australia,Feb-17,7
Crackle Xbox 360 App - Australia,Mar-17,159
Crackle Xbox 360 App - Australia,Apr-17,39
Crackle Xbox 360 App - Australia,May-17,67
Crackle Xbox 360 App - Australia,Jun-17,76
Crackle Xbox 360 App - Australia,Jul-17,793
Crackle Xbox 360 App - Australia,Aug-17,202
Crackle Xbox 360 App - Australia,Sep-17,189
Crackle Xbox 360 App - Australia,Jan-17,"2,907"
Crackle Xbox 360 App - Australia,Oct-17,"1,047"
Crackle Xbox 360 App - Australia,Nov-17,181
Crackle Xbox 360 App - Australia,Dec-17,153
Crackle Xbox 360 App - Australia,Feb-17,38
Crackle Xbox 360 App - Australia,Mar-17,285
Crackle Xbox 360 App - Australia,Apr-17,90
Crackle Xbox 360 App - Australia,May-17,81
Crackle Xbox 360 App - Australia,Jun-17,638
Crackle Xbox 360 App - Australia,Jul-17,"1,536"
Crackle Xbox 360 App - Australia,Aug-17,951
Crackle Xbox 360 App - Australia,Sep-17,327
